상호명,지점명,상권업종중분류명,상권업종소분류명,시도명,시군구명,행정동명,도로명주소,경도,위도,n_상호명,점포수
BKR버거킹분당상록점,분당상록점,패스트푸드,패스트푸드,경기도,성남시 분당구,정자동,경기도 성남시 분당구 정자로 88,127.11442947165001,37.363156754162105,버거킹,1
BKR버거킹분당정자점,분당정자점,패스트푸드,패스트푸드,경기도,성남시 분당구,정자1동,경기도 성남시 분당구 정자일로 234,127.106273828981,37.3711871110814,버거킹,1
BKR버거킹아주대병원점,아주대병원점,패스트푸드,패스트푸드,경기도,수원시 영통구,원천동,경기도 수원시 영통구 월드컵로 164,127.047503987337,37.2794397582259,버거킹,1
BKR버거킹의정부HP점, ,패스트푸드,패스트푸드,경기도,의정부시,자금동,경기도 의정부시 청사로 38,127.070981200972,37.7521578405133,버거킹,1
BKR버거킹일산호수공원, ,패스트푸드,패스트푸드,경기도,고양시 일산동구,장항2동,경기도 고양시 일산동구 중앙로1275번길 38-10,126.770927134288,37.6599409333231,버거킹,1
BKR버거킹,일산마두점,패스트푸드,패스트푸드,경기도,고양시 일산동구,장항2동,경기도 고양시 일산동구 장백로 194,126.776678882171,37.65199973974789,버거킹,1
BKR버거킹일산백마점,일산백마점,패스트푸드,패스트푸드,경기도,고양시 일산동구,마두1동,경기도 고양시 일산동구 일산로 237,126.788064183267,37.6571088791044,버거킹,1
버거킹,평택점,패스트푸드,패스트푸드,경기도,평택시,신평동,경기도 평택시 평택1로 11,127.086866651725,36.9931598810342,버거킹,1
BKR버거킹분당서현점,분당서현점,패스트푸드,패스트푸드,경기도,성남시 분당구,서현1동,경기도 성남시 분당구 분당로53번길 19,127.1221619768,37.3845159275885,버거킹,1
BKR버거킹,금촌역점,패스트푸드,패스트푸드,경기도,파주시,금촌1동,경기도 파주시 중앙로 328,126.774504300683,37.7648639986025,버거킹,1
BKR버거킹,분당야탑점,패스트푸드,패스트푸드,경기도,성남시 분당구,야탑1동,경기도 성남시 분당구 성남대로916번길 11,127.129829942146,37.4108480040811,버거킹,1
버거킹,분당정자점,패스트푸드,패스트푸드,경기도,성남시 분당구,정자2동,경기도 성남시 분당구 내정로 54,127.116137334481,37.3638453394592,버거킹,1
BKR버거킹,하남이마트점,패스트푸드,패스트푸드,경기도,하남시,덕풍3동,경기도 하남시 덕풍서로 70,127.20534664451,37.5527393727753,버거킹,1
BKR버거킹광명소하마트, ,패스트푸드,패스트푸드,경기도,광명시,소하1동,경기도 광명시 소하로 97,126.88453513444999,37.4465873861951,버거킹,1
BKR버거킹,수원역사점,패스트푸드,패스트푸드,경기도,수원시 팔달구,매산동,경기도 수원시 팔달구 덕영대로 924,127.00008813955601,37.2656675906019,버거킹,1
BKR버거킹분당수내점,분당수내점,패스트푸드,패스트푸드,경기도,성남시 분당구,수내1동,경기도 성남시 분당구 내정로 167,127.11913595611799,37.3738697039715,버거킹,1
버거킹,일산호수공원점,패스트푸드,패스트푸드,경기도,고양시 일산동구,장항2동,경기도 고양시 일산동구 중앙로1275번길 38-10,126.770927134288,37.6599409333231,버거킹,1
BKR버거킹,성남이마트점,패스트푸드,패스트푸드,경기도,성남시 수정구,태평4동,경기도 성남시 수정구 수정로 201,127.141399637783,37.4442813117988,버거킹,1
버거킹이천CGV점,이천CGV점,패스트푸드,패스트푸드,경기도,이천시,중리동,경기도 이천시 중리천로 58,127.444147331574,37.279641899656,버거킹,1
버거킹,죽전SK점,패스트푸드,패스트푸드,경기도,용인시 수지구,죽전2동,경기도 용인시 수지구 용구대로 2751,127.10840498453199,37.3313302914811,버거킹,1
BKR버거킹,평택점,패스트푸드,패스트푸드,경기도,평택시,신평동,경기도 평택시 평택1로 11,127.086866651725,36.9931598810342,버거킹,1
SRS버거킹,일산마두점,패스트푸드,패스트푸드,경기도,고양시 일산동구,장항2동,경기도 고양시 일산동구 장백로 194,126.776678882171,37.65199973974789,버거킹,1
SRS버거킹,평택점,패스트푸드,패스트푸드,경기도,평택시,신평동,경기도 평택시 평택1로 11,127.086866651725,36.9931598810342,버거킹,1
