ID,y,x,KFC 매장수,롯데리아 매장수,맘스터치 매장수,맥도날드 매장수,버거킹 매장수,버거지수
부산 해운대,17,12,0,12,3,9,7,1.0666666666666667
서울 강남,8,6,10,8,1,14,24,5.333333333333333
서울 강동,5,8,2,7,1,7,6,1.875
서울 강북,3,5,2,4,0,6,0,2.0
서울 강서,6,4,5,9,3,8,8,1.75
서울 관악,7,5,2,6,2,2,4,1.0
서울 광진,6,7,3,9,1,4,4,1.1
서울 구로,9,4,0,4,0,6,4,2.5
서울 금천,8,5,2,4,1,6,2,2.0
서울 노원,2,6,7,5,1,5,1,2.1666666666666665
서울 도봉,2,5,1,2,0,3,4,4.0
서울 동대문,4,7,0,7,3,6,3,0.9
서울 동작,6,5,2,6,1,4,2,1.1428571428571428
서울 마포,5,5,4,8,3,5,5,1.2727272727272727
서울 서대문,4,5,4,9,3,4,11,1.5833333333333333
서울 서초,7,6,6,7,0,9,12,3.857142857142857
서울 성동,5,7,1,8,4,3,2,0.5
서울 성북,3,6,0,10,4,3,5,0.5714285714285714
서울 송파,6,8,1,12,1,7,5,1.0
서울 양천,7,4,0,4,2,6,6,2.0
서울 영등포,8,4,1,8,2,5,7,1.3
서울 용산,6,6,2,11,0,2,2,0.5454545454545454
서울 은평,5,4,1,2,2,4,5,2.5
서울 종로,4,6,0,2,3,7,3,2.0
서울 중구,5,6,3,5,1,4,15,3.6666666666666665
서울 중랑,4,8,0,3,1,3,4,1.75
울산 남구,15,12,1,11,4,13,4,1.2
울산 동구,14,12,0,3,0,3,1,1.3333333333333333
울산 북구,13,12,0,7,3,3,1,0.4
울산 울주,14,11,0,5,5,1,0,0.1
울산 중구,15,11,0,8,2,1,2,0.3
인천 강화,5,1,0,2,0,0,0,0.0
인천 계양,7,2,3,3,3,2,2,1.1666666666666667
인천 남동,10,2,6,13,2,7,4,1.1333333333333333
인천 미추홀,9,2,0,11,2,3,4,0.5384615384615384
인천 부평,8,2,4,12,2,8,2,1.0
인천 서구,6,1,2,9,2,1,2,0.45454545454545453
인천 연수,10,1,1,8,4,4,4,0.75
인천 옹진,10,0,0,1,0,0,0,0.0
인천 중구,9,1,3,6,2,1,5,1.125
강진,24,1,0,1,0,0,0,0.0
고흥,22,5,0,1,2,0,0,0.0
곡성,21,3,0,1,0,0,0,0.0
광양,21,5,0,2,0,1,1,1.0
구례,20,4,0,2,0,0,0,0.0
나주,22,1,0,0,1,0,0,0.0
담양,20,2,0,4,0,0,0,0.0
목포,22,0,0,4,2,5,2,1.1666666666666667
무안,21,1,0,2,0,1,1,1.0
보성,24,3,0,1,1,0,0,0.0
순천,22,4,0,9,1,6,0,0.6
여수,23,4,0,10,2,4,1,0.4166666666666667
영암,23,1,0,0,1,0,0,0.0
완도,25,2,0,0,1,0,0,0.0
장성,19,2,0,1,0,0,0,0.0
함평,20,1,0,1,0,0,0,0.0
해남,23,0,0,0,1,0,0,0.0
서귀포,26,5,0,5,3,6,0,0.75
제주,25,5,0,8,2,8,2,1.0
계룡,14,4,0,2,0,0,0,0.0
공주,12,4,0,3,0,0,0,0.0
금산,15,3,0,2,0,0,0,0.0
논산,14,3,0,4,2,2,0,0.3333333333333333
당진,12,1,1,4,0,2,0,0.75
보령,13,2,0,3,0,1,0,0.3333333333333333
부여,14,2,0,3,0,0,0,0.0
서산,13,1,0,5,1,1,1,0.3333333333333333
서천,15,2,0,1,2,0,0,0.0
아산,11,1,1,9,2,3,0,0.36363636363636365
예산,12,3,0,1,0,0,0,0.0
천안 동남,11,2,0,8,2,4,2,0.6
천안 서북,11,3,0,10,1,7,1,0.7272727272727273
홍성,12,2,0,1,1,2,1,1.5
괴산,12,8,0,1,0,0,0,0.0
보은,13,8,0,1,0,0,0,0.0
옥천,15,6,0,1,0,0,0,0.0
음성,11,5,0,3,2,0,0,0.0
제천,10,7,0,3,3,1,0,0.16666666666666666
증평,13,6,0,1,1,0,0,0.0
진천,12,5,0,0,1,0,1,1.0
청주 상당,14,6,2,9,3,3,1,0.5
청주 서원,14,7,0,6,3,6,0,0.6666666666666666
청주 청원,13,7,1,5,2,2,1,0.5714285714285714
청주 흥덕,12,7,1,12,0,2,3,0.5
충주,12,6,0,5,5,1,0,0.1
인천 동구,6,2,0,0,0,0,0,0.0
영월,7,10,0,0,0,0,0,0.0
영덕,7,11,0,0,0,0,0,0.0
영양,9,11,0,0,0,0,0,0.0
청송,10,11,0,0,0,0,0,0.0
포항 북구,10,12,0,0,0,0,0,0.0
태안,11,0,0,0,0,0,0,0.0
단양,11,7,0,0,0,0,0,0.0
군위,11,10,0,0,0,0,0,0.0
포항 남구,11,12,0,0,0,0,0,0.0
칠곡,12,9,0,0,0,0,0,0.0
청양,13,3,0,0,0,0,0,0.0
세종,13,4,0,0,0,0,0,0.0
영동,15,7,0,0,0,0,0,0.0
군산,16,2,0,0,0,0,0,0.0
익산,16,3,0,0,0,0,0,0.0
무주,16,5,0,0,0,0,0,0.0
합천,16,7,0,0,0,0,0,0.0
부안,17,2,0,0,0,0,0,0.0
김제,17,3,0,0,0,0,0,0.0
완주,17,4,0,0,0,0,0,0.0
장수,17,5,0,0,0,0,0,0.0
함양,17,6,0,0,0,0,0,0.0
고창,18,1,0,0,0,0,0,0.0
정읍,18,2,0,0,0,0,0,0.0
전주 덕진,18,3,0,0,0,0,0,0.0
진안,18,4,0,0,0,0,0,0.0
남원,18,5,0,0,0,0,0,0.0
영광,19,1,0,0,0,0,0,0.0
전주 완산,19,3,0,0,0,0,0,0.0
임실,19,4,0,0,0,0,0,0.0
함안,19,6,0,0,0,0,0,0.0
순창,20,3,0,0,0,0,0,0.0
신안,21,0,0,0,0,0,0,0.0
화순,21,4,0,0,0,0,0,0.0
진도,24,0,0,0,0,0,0,0.0
장흥,24,2,0,0,0,0,0,0.0
